Statistical profiling result from isolate-0x103001400-v8.log, (6927120 ticks, 766593 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    338    0.0%    0.0%  Stub: StringAddStub {2}
    336    0.0%    0.0%  Builtin: StringPrototypeSubstr
    326    0.0%    0.0%  LazyCompile: *Writable.write _stream_writable.js:264:36
    317    0.0%    0.0%  LazyCompile: *GetIterator native v8natives.js:27:21
    313    0.0%    0.0%  LazyCompile: *slice buffer.js:966:40
    310    0.0%    0.0%  Builtin: CallForwardVarargs
    309    0.0%    0.0%  LazyCompile: *fs.write fs.js:2177:53
    309    0.0%    0.0%  Builtin: HandleApiCall
    298    0.0%    0.0%  Builtin: InterpreterPushArgsThenCall
    296    0.0%    0.0%  Builtin: StringPrototypeSubstring
    294    0.0%    0.0%  LazyCompile: *wrapper fs.js:683:19
    291    0.0%    0.0%  Script: ~<anonymous> internal/freelist.js:1:11
    290    0.0%    0.0%  Builtin: ArrayFilter
    289    0.0%    0.0%  Stub: RecordWriteStub {19}
    289    0.0%    0.0%  Builtin: RegExpReplace
    288    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/writer.js:445:56
    279    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:27:80
    271    0.0%    0.0%  LazyCompile: ~ifNeedParentUnits /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1871:32
    265    0.0%    0.0%  LazyCompile: *cleanup /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/PerMessageDeflate.js:325:19
    264    0.0%    0.0%  LazyCompile: *validate /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:47:18
    264    0.0%    0.0%  LazyCompile: *Buffer.concat buffer.js:425:25
    263    0.0%    0.0%  LazyCompile: *InnerArraySort native array.js:529:24
    258    0.0%    0.0%  LazyCompile: *Transform.push _stream_transform.js:145:36
    253    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:173:40
    252    0.0%    0.0%  Builtin: ForInPrepare {1}
    246    0.0%    0.0%  Builtin: StringPrototypeSplit
    243    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:178:13
    241    0.0%    0.0%  Builtin: TypedArrayInitialize
    236    0.0%    0.0%  Builtin: StringIndexOf
    224    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/sqlite3/lib/sqlite3.js:73:50
    223    0.0%    0.0%  LazyCompile: ~strEscape util.js:109:19
    215    0.0%    0.0%  Script: ~<anonymous> internal/socket_list.js:1:11
    214    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:2904:25
    212    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:270:65
    209    0.0%    0.0%  Stub: InternalArrayConstructorStub
    208    0.0%    0.0%  LazyCompile: *readWitnessList /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/storage.js:540:25
    206    0.0%    0.0%  LazyCompile: *GetMethod native v8natives.js:12:19
    205    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/storage.js:597:46
    204    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:66:129
    200    0.0%    0.0%  LazyCompile: ~ifNew /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1308:22
    199    0.0%    0.0%  Stub: RecordWriteStub {31}
    199    0.0%    0.0%  LazyCompile: *validate /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1604:25
    198    0.0%    0.0%  Builtin: ObjectCreate
    195    0.0%    0.0%  LazyCompile: *handleResponse /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:277:24
    194    0.0%    0.0%  LazyCompile: ~validate /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1604:25
    194    0.0%    0.0%  LazyCompile: ~onData /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/PerMessageDeflate.js:257:18
